"0";"《神秘熔炉合约》"
"1";"白斗篷教徒"
"2";"基础治疗"
"3";"在目标区域召唤一场流星雨。
<c=@reminder>目标受到的伤害随着命中次数递减。</c>"
"4";"《虫师日志》"
"5";"苏醒者胡狼"
"6";"摧毁西南部的苏醒者审讯团的控制能量塔。"
"7";"世界之战无倒地周"
"8";"契约团前卫，亚哈悬崖"
"9";"你的事迹已经流传开了。大部分是在厨师之间。他们说你是冉冉升起的烹饪巨星。天赋的味道我一尝便知，所以你为什么不为我准备一份厨师品尝盘，然后我会把我的专业意见告诉你。有了我的帮助，你可以成就一番伟业！
我会在你的家园附近等你。切削劈砍！

——瑟姆"
"10";"流沙采矿镐"
"11";"厨师品尝盘"
"12";"本周世界之战内没有倒地状态！此外，世界之战经验翻倍，奖励分支进度和宝物寻获率增加！"
"13";"纯洁之村，荒芜之地"
"14";"重建者爆裂"
"15";"沙漠高地的某个地方"
"16";"与萨伊姆谈话并接受他的请求。"
"17";"<c=@flavor>总有一天，这个小家伙会变成一只忠诚的坐骑。</c>"
"18";"灾厄染料"
"19";"苏醒者胡狼皮肤"
"20";"日灼镰刀"
"21";"一把精美的钥匙，肯定能打开什么东西。"
"22";"苏醒者肉食鸟皮肤"
"23";"石棺染料"
"24";"苏醒者弹跳兔皮肤"
"25";"安努，水晶绿洲"
"26";"瓦比领域的某个地方"
"27";"提升对盟友治疗量"
"28";"日灼镰刀法杖皮肤"
"29";"搜刮"
"30";"亚哈悬崖的某个地方"
"31";"奥珊区，神佑之城"
"32";"亚哈悬崖的某个地方"
"33";"迷城峭壁狮鹫大师：白银"
"34";"失窃补给"
"35";"手下留情"
"36";"离开安努向东走几天，在沙漠之海深处，你们将幸运地遇见我遭遇过的困境。四个巨灵悬浮在路上，争论着他们对于元素偏好的本质。

我在那里站了一段时间，听他们辩论，最后大概弄明白这些巨灵争论了几个月，无论昼夜、天气或者过路人是谁，都没有停下来。巨灵，据我观察，不需要像泰瑞亚其他生物那样进食。他们与这个世界的元素联系似乎是他们维持生命唯一需要的手段。

不幸的是，我和大部分困在沙漠之海的访客一样，需要有人给我指路，既没有力气也没有补给靠自己弄清方向。

当我走进四个巨灵时，他们根本不在意我。火焰巨灵注意到了我，继续争论前说了句脏话。空气巨灵完全忽视我，完全把我当作空气。大地巨灵暂停思考并看了我一眼，只有流水巨灵决定开口说话。

"也许这个人可以作出决定！"巨灵向我这里挥舞一条手臂。"一个中立生物来破解僵局！"

其他三个终于停止争论，像盯着苍蝇那样盯着我。"这个人？"火焰巨灵露出失望的表情。"它太小了吧？它怎么可能知道情况？"

"我觉得这个想法很新奇，"空气巨灵说，"但我们首先得解释这场争论的本质。"

"没有争论。"大地巨灵不接受这种说法，交叉双臂表示怀疑。"你们三个只要记住，没有脚下的大地，你们这些元素毫无用处。"

流水巨灵不肯退让，"又来了，我们毫无进展。但是这个人，这个人类，它生活在地表，喝水，呼吸空气，用火驱逐夜晚的黑暗。它会用到所有元素。"

"也许是这样，"大地巨灵不为所动地说。"但是我再说一次，没有大地，它没法呼吸，没法喝水，多半会消失在黑暗中。"

其它三个巨灵厌倦了僵局，但是显然不愿意退让。他们都转向我，把我围住，悬浮在半人高的沙丘上，睁大眼睛看着我，不断散发出恶意。

"好吧，"空气巨灵说，"我觉得可以解释一下。"

"我们四个代表了自然元素，"火焰巨灵飘到近处，也许是为了威胁。"而我们其中一个显然更加强大。"

最后，我第一次打断他们的争论，我说："难道自然中没有平衡吗？"

所有四个巨灵都笑了。"平衡是幻觉"，大地巨灵说。"自然追求平衡，但是从来没找到。雨水来自不平衡的流水和空气。火山，来自大地和火焰。沙尘暴，来自空气和大地。因此我们无休止地争论。"

"也因此你必须告诉我们哪种元素最强大，"空气巨灵说，"现在说吧。"

我思考了一会，但是发现我的主人们不喜欢等待。我决定解释自己的观点，虽然我知道无论得出什么结论，四巨灵肯定不会满意。

"好吧，我们来看看我的处境，"我说。"泰瑞亚的生物必须站在地上，因此大地很重要。"

"不出所料，"大地巨灵说，长舒了一口气。"这场争论很快就要结束了。"

"但是，"我继续说，大地巨灵有点始料不及，"现在我们站在沙丘当中。我花了很大力气才抵达这里，因为地面柔软而松动。我已经精疲力尽了，而沙子并不会该删这种状况。"

我看向空气巨灵，他似乎很满意我否认了大地巨灵。"空气，"我继续说，"虽然在水晶沙漠的夜晚甜美而凉爽，在这里却灼热干燥，让我喉咙冒烟。"

空气巨灵沉默地眯起眼睛，显然很失望。

我转向火焰巨灵。"炎炎烈日让人一点也不舒服，热量透过空气，被沙子吸收。大地，空气和火焰合谋要在伊伦娜的沙漠里害死我。"

我提到的三个巨灵咕囔着转向最后一个巨灵。

"但是，有一种元素可以消除其它三种带来的不舒适。"我说。流水巨灵，很高兴听到我说的话，举起手臂生成一大团纯净水。它因为巨灵的意志，漂浮在我面前。

"你可以摆脱不舒适了，"流水巨灵说。"喝吧，让我们暂时说说和元素无关的话题。"

就这样我和流水巨灵成为朋友，代价是疏远了其它三个。他们不甘心输掉了持续几个月的争论，拒绝再次和我谈话。不过，流水巨灵为我指明了方向，一路上陪伴我，跟我说话。

这场命中注定的遭遇已经过去了很久，我和流水巨灵互相依靠。我们离开灼热的伊伦娜沙地，前往（无论是温度还是气质）更温和的科瑞塔，但是我经常会想起沙丘中的谈话。无论情况如何，我都只能选择同一个巨灵：大地巨灵令人敬畏，但它不关心居民是否舒适；空气巨灵能够维持生命，但是不能改善生活质量；火焰提供光明，但是在伊伦娜的空中熊熊燃烧。只有流水能够缓解其它元素，能够在泰瑞亚极其严苛、仅仅勉强能够忍受的地方创造生命。

这场谈话令人满意。"
"37";"卡迪姆选择了你！"
"38";"抛下一瓶给予激怒和迅捷的兴奋剂。"
"39";"收集一枚风相水晶解锁该技能。"
"40";"农耕学院，瓦比领域"
"41";"荒芜之地的某个地方"
"42";"《畅饮伊伦娜美酒》"
"43";"水晶收集：白银"
"44";"那是真的吗？"
"45";"水晶收集：青铜"
"46";"至尊五人组"
"47";"焦油"
