"0";"Mystic Forge Contract"
"1";"White Mantle Cultist[s]"
"2";"Base Healing"
"3";"Call down a meteor shower onto the target area.
<c=@reminder>Damage is reduced per target each time they are struck by this ability.</c>"
"4";"Zommoros's Journal"
"5";"Awakened Jackal"
"6";"Destroy the southwest Awakened Inquest control pylon."
"7";"World vs. World No Downed State"
"8";"Pact Vanguard, Jahai Bluffs"
"9";"People are talking about you. Chefs, mostly. They're saying you're some kind of rising culinary superstar. I know talent when I taste it, so why don't you cook me a Chef's Tasting Platter and I'll give you my professional opinion. With my help, you can attain greatness!
I'll be waiting near your home. Chop chop!

—Seimur"
"10";"Shifting Sands Mining Pick"
"11";"Chef's Tasting Platter[s]"
"12";"The downed state has been disabled in WvW during this event! Additionally, earn double WXP, increased reward-track progress, and increased magic find!"
"13";"Village of Purity, The Desolation"
"14";"Reconstructor Blast"
"15";"Somewhere in the Desert Highlands"
"16";"Spoke to Zaeim and accepted his request."
"17";"<c=@flavor>One day, this larva will become a loyal mount.</c>"
"18";"Scourge Dye[s]"
"19";"Awakened Jackal Skin[s]"
"20";"Suntouched Scythe"
"21";"An elaborate key. It must open something."
"22";"Awakened Raptor Skin[s]"
"23";"Sarcophagus Dye[s]"
"24";"Awakened Springer Skin[s]"
"25";"Amnoon, Crystal Oasis"
"26";"Somewhere in the Domain of Vabbi"
"27";"Increased Healing to Other Allies"
"28";"Suntouched Scythe Staff Skin[s]"
"29";"Plunder"
"30";"Somewhere in Jahai Bluffs"
"31";"Ossan Quarter, Divinity's Reach"
"32";"Somewhere in Jahai Bluffs"
"33";"Labyrinthine Cliffs Griffon Master: Silver"
"34";"Stolen Supplies"
"35";"Show Mercy"
"36";"A few days east of Amnoon, deep in that sea of sand, one would be lucky to find themselves faced with my predicament. A quartet of djinn hovered in their way, arguing at length about the nature of their elemental leanings.

I stood there for quite some time, listening to their grand debate, and realized with a hint of fascination that these djinn had been arguing amongst themselves for months, never once breaking from their disagreement no matter the time of day, the weather, or passing company. Djinn, as I discovered, need not the sustenance required by other living beings of Tyria. Their connection to the world through their representative element seemed to be all they needed to persist in life.

Unfortunately, as was the case for most visitors to that desolate sea of sand, I was in need of direction and had not the energy nor the provisions to seek out another means of acquiring it.

When I approached the four djinn, they paid me little heed. The one of flame barely acknowledged my presence, snorting something obscene before returning to his debate. The air djinn ignored me entirely, looking through me as through I was made of naught but the element itself. The earth djinn broke away from its train of thought for but a moment to stare me down, but it was the water djinn that decided to offer voice to thought.

"Perhaps this one should decide!" The djinn waved one of its arms in my general direction. "A neutral party to break this horrid stalemate!"

The other three finally stopped their arguing, all now staring at me from on high as one might evaluate a fly impeding on their breakfast. "This one?" The fire djinn's face wrinkled in disappointment. "It's rather small, isn't it? How could it possibly know what's at stake?"

"I think it's a novel idea," said the air djinn. "But we must first explain the nature of this disagreement."

"There is no disagreement." The earth djinn was less than receptive, crossing both pairs of arms, doubly suspicious. "You three have simply yet to accept that without the earth beneath us, your elements are useless."

The water djinn was resolute. "Again, we get nowhere. But this one, this human, it lives on the earth, drinks of the water, breathes of the air, and uses fire to banish the darkness of night. It finds use in all of us."

"Perhaps so," said the earth djinn, unmoved. "But again, without the earth, it cannot breathe, it cannot drink, and it most certainly cannot banish the darkness."

The other three djinn had grown tired of the stalemate, but evidently were not keen on ceding ground to the djinn representing it. They all turned to me, surrounding my person, hovering half my height from the sandy dunes. Unblinking eyes on me, they loomed with more than a hint of malice.

"Well then," the air djinn started, "I believe an explanation is in order."

"We four represent the elements of nature." The fire djinn floated closer, perhaps as a means of intimidation. "And one of us is clearly more powerful than the others."

Finally, for the first time since I intruded on their debate, I spoke: "Is there not balance to be found in nature?"

The djinn, all four, laughed. "Balance is an illusion," said the earth djinn. "Nature strives for balance but never finds it. Rain comes from an imbalance between water and air. Volcanoes, from earth and fire. Sandstorms, from air and earth. This is why we bicker endlessly."

"And also why you must tell us which element is greatest," said the air djinn. "Now speak."

I pondered this for a time, but could tell my hosts were not keen on waiting. I decided to explain my rationale aloud, though I knew that no matter what answer I came upon, the quartet would no doubt remain unsatisfied.

"Well, let us look at my situation," I started. "Living creatures of Tyria must tread the ground, giving it inherent worth and value."

"As I expected," said the earth djinn, puffing out its chest. "This debate will end shortly."

"But," I continued, much to the earth djinn's consternation, "here we stand amongst the dunes. I have struggled to tread this ground, for it is pliable and unstable. I am exhausted from my travels, and the sands do little to ease it."

