"0";"Annuler"
"1";"Confortable, élégante et portable en toute occasion. Les habits de ville ne peuvent pas être portés au combat."
"2";"Régler la boîte de modulation ludique"
"3";"Vaillant[f:"Vaillante"],

Eir et Rytlock sont submergés de travail. Les Draguerres des Contreforts du voyageur et la Légion de la Flamme du Plateau de Diessa ont uni leurs forces. Ils attaquent ensemble les territoires au nord d'Hoelbrak et de la Citadelle Noire. Nos alliés sont totalement débordés par le nombre de réfugiés qui ont besoin d'aide. Je leur viendrais volontiers en aide, mais certains problèmes requièrent ma présence au Bosquet.

Je souhaiterais que vous vous rendiez au Cœur de l'Imperator à la Citadelle noire. Les tribuns de la ville ont formé un quorum de défense. Présentez-vous au quorum et faites-leur savoir que vous pouvez les aider. Je suis sûre qu'ils ont surtout besoin de volontaires pour repousser les assaillants, mais Rytlock pourra sûrement vous en dire plus si vous lui parlez après l'assemblée. Vous le trouverez dans son bureau. Bonne chance.

– Caithe

<c=#ff8c00>[lbracket]Allez à la Citadelle noire et cherchez "Rox : une mission vitale" sur la carte.[rbracket] <br><br>[lbracket]Allez au bureau de Rytlock et cherchez "Braham : l'aide des légions" sur votre carte.[rbracket]</c>"
"4";"[F]Caithe"
"5";"Appel aux armes"
"6";"Pourfendeur[f:"Pourfendeuse"],

Hoelbrak n'arrive toujours pas à contrôler le nombre croissant de réfugiés. Nos éclaireurs ont confirmé que les Draguerres des Contreforts du voyageur et la Légion de la Flamme du Plateau de Diessa se sont alliés. Une telle alliance ne peut être ignorée. Pour l'heure, nous pouvons seulement les ralentir. Il faut que vous alliez là-bas et que vous défendiez les colonies en combattant l'ennemi. Si vous êtes sur le terrain, Knut et moi-même pourront mettre sur pied une opération de grande envergure afin de contrer les attaques des Draguerres et de la Légion de la Flamme.
 
La même chose se produit à la Citadelle noire. Votre aide y serait sûrement la bienvenue. Tous les officiers les plus importants se sont rassemblés. Informez le quorum de défense du Centre de commandement que vous êtes à leur disposition. Ensuite, allez trouver Rytlock dans son bureau, transmettez-lui mes salutations et faites-lui savoir que vous pouvez aider. Il appréciera sûrement cette pause offerte au milieu de toutes ses réunions tactiques.

– Eir

<c=#ff8c00>[lbracket]Allez à la Citadelle noire et cherchez "Rox : une mission vitale" sur la carte.[rbracket] <br><br>[lbracket]Allez au bureau de Rytlock et cherchez "Braham : l'aide des légions" sur votre carte.[rbracket]</c>"
"7";"Eir Stegalkin"
"8";"Appel aux armes"
"9";"Soldat,

Les rumeurs sont maintenant avérées. Les Draguerres des Contreforts du voyageur et la Légion de la Flamme du Plateau de Diessa se sont alliés. Ensemble, ils attaquent notre peuple au nord et les Norns à l'ouest. Je n'ai aucun moyen de me libérer des réunions avec les autres tribuns, car nous planifions une contre-attaque. Le Conseil de guerre a organisé un quorum de défense. Lorsque vous serez ici, allez au Cœur de l'Imperator et faites savoir que vous êtes prêt à aider.

Écoutez, j'ai du mal à supporter de devoir me terrer ici avec ces crétins, alors passez à mon bureau plus tard et faites-moi un compte rendu. Vous prendrez un verre aussi. J'aurai bien besoin d'une pause. Après cela, vous serez libre d'aller pulvériser les forces ennemies.

– Rytlock

<c=#ff8c00>[lbracket]Allez à la Citadelle noire et cherchez "Rox : une mission vitale" sur la carte.[rbracket] <br><br>[lbracket]Allez au bureau de Rytlock et cherchez "Braham : l'aide des Légions" sur votre carte.[rbracket]</c>"
"10";"Rytlock Brimstone, Tribun de la Légion Sanglante"
"11";"Appel aux armes"
"12";"Mon ami[f:"amie"],

