"0";"Rayon arcanique"
"1";"Projection de réfrigérant"
"2";"Vaincre les golems ennemis."
"3";"Reprogrammer les golems à l'aide de la console de commande pour qu'ils luttent contre l'incendie."
"4";"[lbracket]Forgeron[f:"Forgeronne"] d'armures[rbracket]"
"5";"Forgeron[f:"Forgeronne"] d'armes<br>• Achat d'armes<br>• Vente d'objets"
"6";"Rayon d'impact"
"7";"Haut[s]-de-forme"
"8";"Chapeau[pl:"Chapeaux"] de Quaggan poilu[s] avec un nœud"
"9";"Lunettes à large monture"
"10";"Double-cliquez pour porter cette tenue.

Les tenues sont des ensembles complets qui recouvrent les autres armures. Cela ne changera pas les pièces d'armure individuelles et vous aurez toujours vos statistiques d'armure actuelles."
"11";"Chapeau[pl:"Chapeaux"] d'ours poilu[s]"
"12";"Des dragons aux fêtes improvisées, le large bord de ce chapeau est prêt à tout."
"13";"Chapeau de sorcier"
"14";"Chapeau[pl:"Chapeaux"] de chat poilu[pl:"poilus"]"
"15";"Chapeau[pl:"Chapeaux"] de Hylek poilu[pl:"poilus"]"
"16";"Les habits de ville ne peuvent plus être équipés séparément.

Parlez à un marchand d'armures du Lion noir au comptoir de l'une des grandes villes pour échanger cet objet contre un tonique de vêtement décontracté inépuisable.."
"17";"Vrille"
"18";"La gladium Rox attend des ordres de Rytlock Brimstone au Cœur de l'Imperator."
"19";"Braham, qui prétend être le fils d'Eir Stegalkin, recherche l'aide de Rytlock au Cœur de l'Imperator."
"20";"Amélioration - Cachet"
"21";"Arme - Epée"
"22";"Portail[s] mécanique[s] détraqué[s]"
"23";"Nous récompensons ceux qui participent aux événements compétitifs de Guild Wars 2, c'est pourquoi vous pourrez désormais frimer grâce à ce mini-lama !"
"24";"[null]"
"25";"Découvrez les<br>packs de teintures<br>Flamme et Froid"
"26";"Après consommation, tout objet utilitaire utilisé pendant les 12 prochaines heures a une durée minimale égale à la durée restante de l'apprêt utilitaire (12 heures maximum)."
"27";"À vous les joies des voyages<br>diplomatiques en Tyrie !"
"28";"1 kit coiffure
1 teinture verte non identifiée
6 charges de transmutation
1 apparence de haut-de-forme
5 apprêts métaboliques, 5 apprêts utilitaires"
"29";"Apparences<br>d'armes en hommage à<br>Rox et Braham"
"30";"Disponible uniquement pour une durée limitée.

Modifie votre sac à dos afin qu'il ressemble au carquois de Rox. Utilisable sur l'objet de dos de n'importe quel personnage.
Peut se convertir pour servir en JcJ."
"31";"Apparence<br>d'arme en hommage à Bélinda"
"32";"Disponible pour une durée limitée.

Remplace l'aspect de n'importe quel espadon et ajoute l'apparence à votre garde-robe de compte."
"33";"Disponible uniquement pour une durée limitée.

A utiliser à tout moment pour changer l'apparence d'un arc court afin qu'il ressemble à celui de Rox. Requiert l'expertise en arcs pour être utilisée.
Peut se convertir pour servir en JcJ."
"34";"Les miniatures sont des modèles réduits de vos monstres et personnages favoris de Tyrie. Chaque miniature peut être activée depuis votre inventaire afin de vous suivre partout dans le monde."
"35";"Disponible uniquement pour une durée limitée au printemps, ce mini-jeune jaguar peut être le vôtre !

Les miniatures sont des modèles réduits de vos monstres et personnages favoris de la Tyrie. Chaque miniature peut être activée depuis votre inventaire afin de vous suivre partout dans le monde."
"36";"Faites des éclaboussures <br> avec les nouveaux jouets à eau !"
"37";"Le printemps est là !<br>Ayez vos propres<br>mini-bébés animaux"
"38";"Disponible uniquement pour une durée limitée au printemps, ce mini-porcelet peut être le vôtre !

Les miniatures sont des modèles réduits de vos monstres et personnages favoris de la Tyrie. Chaque miniature peut être activée depuis votre inventaire afin de vous suivre partout dans le monde."
"39";"Faites du cerf-volant !"
"40";"Augmente la<br>taille de votre<br>pile de collection !"
"41";"Augmente la taille des piles de toutes les collections de 250."
"42";"Effectuez la mise à niveau vers l'édition Deluxe numérique pour votre compte et recevez :
• Une apparence d'armure zodiacale
• Un mini-M. Kibrille
• Une apparence d'objet de dos Chasseur d'éclair
• La compétence d'élite Invocation de loup Brumefeu

Ces objets vous seront envoyés lors de votre prochaine connexion. Vous pouvez acheter cette mise à niveau une fois par compte."
"43";"Rayon de l'avantage"
"44";"Rayon de projection"
"45";"Nombre de projectiles"
"46";"Ensemble de miniatures 1<br>Disponible pour<br>une durée limitée !"
"47";"Soldes d'anniversaire !<br>Des promos<br>tous les jours !"
"48";"Disponible pour une durée limitée.

Remplace l'aspect de n'importe quelle masse et ajoute l'apparence à votre garde-robe de compte."
"49";"Protéger le sanctuaire de la Panthère des neiges contre les Fils de Svanir."
"50";"Défendre la Maison de Travelen contre les attaques de Svanirs."
"51";"Aider les Grawls à repousser les attaques de Svanir."
"52";"La partie en cours a pris fin."
"53";"Votre équipe a fini première."
"54";"Votre équipe a fini deuxième."
"55";"Votre équipe a fini troisième."
"56";"Le compagnonnage est un outil gratuit qui permet aux joueurs d'un monde de jouer avec leurs amis sur un autre monde. Avec le compagnonnage, vos personnages peuvent jouer sur n'importe quel monde où vous avez des amis, tout ceci avec quelques restrictions. Vous ne serez pas en mesure de participer au Monde contre Monde lorsque vous jouez en mode Compagnonnage. 

Le mode Compagnonnage est actuellement indisponible."
"57";"Disponible dès maintenant !<br>Pour une journée<br>seulement !"
"58";"Disponible pour une durée limitée.

Remplace l'aspect de n'importe quel bâton et ajoute l'apparence à votre garde-robe de compte."
"59";"Disponible pour une durée limitée.

Remplace l'aspect de n'importe quel arc court et ajoute l'apparence à votre garde-robe de compte."
"60";"Disponible pour une durée limitée.

Remplace l'aspect de n'importe quelle dague et ajoute l'apparence à votre garde-robe de compte."
"61";"Disponible pour une durée limitée.

Remplace l'aspect de n'importe quelle hache et ajoute l'apparence à votre garde-robe de compte."
"62";"Disponible pour une durée limitée.

Remplace l'aspect de n'importe quel bouclier et ajoute l'apparence à votre garde-robe de compte."
"63";"Armes de pirate"
"64";"Disponible pour une durée limitée.

Remplace l'aspect de n'importe quel objet de dos par un carquois et ajoute l'apparence à votre garde-robe de compte."
"65";"Ambition de Brill"
"66";"Après consommation, toute amélioration utilitaire utilisée pendant les 12 prochaines heures a une durée minimale égale à la durée restante de l'apprêt (12 heures maximum)."
"67";"En promo !<br>Seulement ce<br>week-end !"
"68";"En promo !<br>Une journée<br>seulement !"
"69";"Ensemble de miniatures 2<br>Disponible pour<br>une durée limitée !"
"70";"Ce personnage a déjà bénéficié d'un parchemin de ce type."
"71";"Double-cliquez pour faire passer votre personnage au niveau 20. Ne peut s'utiliser que sur un personnage dont le niveau est inférieur à 20."
"72";"Double-cliquez pour faire passer votre personnage au niveau 30. Ne peut s'utiliser que sur un personnage dont le niveau est inférieur à 30."
"73";"Gants lourds de chasseur de crabes"
"74";"Teinture bleue non identifiée"
"75";"Mini-roi singe"
"76";"Isolement de Brill"
"77";"Ouvrir"
"78";"Pierre chargée"
"79";"Faveur des Zéphyrites (niveau 6)"
"80";"<c=@flavor>Un cadeau offert par les dirigeants de Tyrie en gage de leur gratitude.</c>"
"81";"Récompense[s] pour héros[f:"héroïne"] du sommet"
"82";"Double-cliquez pour apprendre la recette de la lampe de croissance."
"83";"Recette[pl:"Recettes"] : lampe de croissance"
"84";"<c=@flavor>La première graine cultivée par vos soins. Pour favoriser la croissance de ce nouveau spécimen, plantez-le dans un pot en glaise infusé du chaos.</c>"
"85";"Graine cultivée"
"86";"Cet orbe émet un bourdonnement. Il pourrait être amplifié grâce à des sources de rayonnement chaotique supplémentaires.
Double-cliquez pour voir."
"87";"Orbe[s] du chaos"
"88";"Un tas de poussière des lignes de force inerte. L'onde d'énergie d'un laboratoire asura spécialisé l'alimentera.
Double-cliquez pour voir."
"89";"Tas de poussière des lignes de force"
"90";"À combiner dans la forge mystique avec une assiette d'engrais épicé, de la poussière de pierre de sang et des segments de cuir épais pour créer un paquet d'engrais baigné dans une oasis.

<c=@flavor>Les eaux de la jungle de Maguuma sont réputées pour leurs vertus curatives.</c>"
"91";"Fiole[s] d'eau d'oasis rétablissante"
"92";"Le potentiel de croissance de ce puissant carré bioluminescent ne peut être libéré qu'à l'aide d'un catalyseur.
Double-cliquez pour voir."
"93";"Grand[s] carré[s] bioluminescent[s]"
"94";"<c=@flavor>Il manque un petit quelque chose à cette lampe pour pouvoir exploiter tout son potentiel de croissance.</c>"
"95";"Lampe[s] de croissance"
"96";"Transport de personnel draguerre"
