"0";"Abbrechen"
"1";"Komfortabel, elegant und doch passend für jede Gelegenheit. Stadtkleidung kann nicht im Kampf getragen werden."
"2";"Kiste voll Spaß anpassen"
"3";"Junker[f:"Junkerin"],

Eir und Rytlock sind überfordert. Die Schaufler in den Wanderer-Hügeln und die Flammen-Legion auf dem Diessa-Plateau haben sich zusammengeschlossen. Zusammen fallen sie über die Ländereien nördlich von Hoelbrak und der Schwarzen Zitadelle her. Unsere Freunde wurden geradezu von Flüchtlingen überrannt, die hilfesuchend in ihre Städte eilten. Ich würde ihnen gerne meinen Beistand anbieten, doch Angelegenheiten im Hain verlangen meine volle Aufmerksamkeit.

Ich möchte Euch bitten, den Kern des Imperators in der Schwarzen Zitadelle aufzusuchen. Die Tribune der Stadt haben einen Verteidigungsausschuss einberufen. Meldet Euch dort und lasst sie wissen, dass Ihr gekommen seid, um zu helfen. Ich bin mir sicher, dass sie händeringend nach Freiwilligen suchen, um die Angreifer zurückzuschlagen. Wenn Ihr nach der Versammlung mit Rytlock sprecht, gibt er Euch bestimmt genauere Anweisungen. Ihr werdet ihn in seiner Dienststube finden. Viel Glück.

Caithe

<c=#ff8c00>[lbracket]Geht zum Kommandokern in der Schwarzen Zitadelle und sucht auf Eurer Karte nach "Rox: Eine wichtige Mission".[rbracket] <br><br>[lbracket]Stattet Rytlock in seiner Dienststube einen Besuch ab und sucht auf Eurer Karte nach "Braham: Hilfe von den Legionen"[rbracket]</c>"
"4";"[F]Caithe"
"5";"Ruf zu den Waffen"
"6";"Bezwinger[f:"Bezwingerin"],

Hoelbrak hat immer noch Probleme damit, die vielen Flüchtlinge aufzunehmen, und ihr Strom reißt einfach nicht ab. Unsere Späher haben unsere Befürchtungen bestätigt: Die Schaufler in den Wanderer-Hügeln und die Flammen-Legion auf dem Diessa-Plateau haben sich verbündet. Dieser unheilvolle Bund darf von uns nicht ignoriert werden. Momentan können wir nicht mehr tun, als ihre Armeen in Schach zu halten. Wir brauchen Euch dort draußen. Ihr müsst unsere Gehöfte verteidigen und den Feind bekämpfen. Mit Euch im Feld können Knut und ich eine großangelegte Gegenoffensive planen.
 
Die Strategen in der Schwarzen Zitadelle sind ebenfalls am Planen und könnten auch Eure Unterstützung brauchen. Sie haben einen Verteidigungsausschuss einberufen, an dem alle hochrangigen Offiziellen teilnehmen. Besucht den Kern des Imperators und teilt ihnen mit, dass Ihr ihnen jederzeit zur Verfügung steht. Sucht danach Rytlock in seiner Dienststube auf und lasst ihn persönlich wissen, dass Ihr gekommen seid, um zu helfen. Und grüßt ihn bitte von mir. Er wird eine Atempause zwischen den strategischen Besprechungen zu schätzen wissen.

Eir

<c=#ff8c00>[lbracket]Geht zum Kommandokern in der Schwarzen Zitadelle und sucht auf Eurer Karte nach "Rox: Eine wichtige Mission".[rbracket] <br><br>[lbracket]Stattet Rytlock in seiner Dienststube einen Besuch ab und sucht auf Eurer Karte nach "Braham: Hilfe von den Legionen"[rbracket]</c>"
"7";"[U]Eir Stegalkin"
"8";"Ruf zu den Waffen"
"9";"Soldat[f:"Soldatin"],

die Gerüchte haben sich bewahrheitet. Die Schaufler in den Wanderer-Hügeln und die Flammen-Legion auf dem Diessa-Plateau haben sich verbündet. Zusammen überfallen sie unsere Leute im Norden und die Norn im Westen. Wir planen derzeit eine Gegenoffensive, weshalb ich aus Treffen mit den anderen Tribunen gar nicht mehr herauskomme. Der Kriegsrat hat einen Verteidigungsausschuss einberufen. Wenn Ihr hier ankommt, dann meldet Euch im Kern des Imperators.

Sucht mich danach aber noch in meiner Dienststube auf und erstattet mir persönlich Bericht. Während der Treffen kann ich dank all dieser Schafsköpfe keinen klaren Gedanken fassen. Ich spendiere Euch auch ein Bier, wenn es die Zeit erlaubt. Jedenfalls bin ich für eine kleine Pause dankbar. Nachdem Ihr mir Gesellschaft geleistet habt, dürft Ihr gerne damit beginnen, unsere Feinde zu pulverisieren.

Rytlock

<c=#ff8c00>[lbracket]Geht zum Kommandokern in der Schwarzen Zitadelle und sucht auf Eurer Karte nach "Rox: Eine wichtige Mission".[rbracket] <br><br>[lbracket]Stattet Rytlock in seiner Dienststube einen Besuch ab und sucht auf Eurer Karte nach "Braham: Hilfe von den Legionen"[rbracket]</c>"
"10";"Rytlock Brimstone, Tribun der Blut-Legion"
"11";"Ruf zu den Waffen"
"12";"Mein[f:"Meine"] Freund[f:"Freundin"],

Krytas Quellen berichten, dass sich die Lage in Hoelbrak und der Schwarzen Zitadelle verschlimmert. Flüchtlinge strömen von Norden in die Städte, wo sich die Streitmacht der Schaufler und der Flammen-Legion durch die Wanderer-Hügel und über das Diessa-Plateau walzt. Unseren Kameraden gelingt es nicht, den Vormarsch der Eindringlinge zum Erliegen zu bringen.

Als Mitglied der Seraphen-Wache habe ich hier Verpflichtungen. Wie dem auch sei, ich möchte Euch darum bitten, den Städten zu helfen. Im Kern des Imperators, in der Schwarzen Zitadelle, findet ein Verteidigungsausschuss statt. Sie benötigen jede Hilfe, die sie kriegen können. Meldet Euch dort bei den Tribunen und lasst sie wissen, dass Ihr gekommen seid, um zu helfen. Bevor Ihr die Zitadelle wieder verlasst, sprecht bitte noch mit Rytlock in seiner Dienststube. Er hat womöglich genaue Instruktionen für Euch.

Logan

<c=#ff8c00>[lbracket]Geht zum Kommandokern in der Schwarzen Zitadelle und sucht auf Eurer Karte nach "Rox: Eine wichtige Mission".[rbracket] <br><br>[lbracket]Stattet Rytlock in seiner Dienststube einen Besuch ab und sucht auf Eurer Karte nach "Braham: Hilfe von den Legionen"[rbracket]</c>"
"13";"Hauptmann Logan Thackeray"
"14";"Ruf zu den Waffen"
"15";"Denker[f:"Denkerin"],

die meisterhafte Spurensuche in den Wanderer-Hügeln und am Diessa-Plateau hat uns neue Erkenntnisse gebracht. Schaufler und Flammen-Legion machen gemeinsame Sache ... Das ist ja geradezu wider die Natur. Selbst in meinen wildesten Mutmaßungen konnte ich eine derartige Partnerschaft nicht prognostizieren. Wenn die Blinden und die Sturen kollidieren, dann kann man als Resultat nur akutes Auftreten von Stupidität erwarten.

Aber ich schweife ab. Fest steht, dass die Sturköpfe in der Schwarzen Zitadelle und in Hoelbrak die Kontrolle über die Situation verloren haben. Während meine Präsenz in Rata Sum von essenzieller Bedeutung ist, steht es Euch frei, diesen Städten Eure Hilfe anzubieten. Sucht den Kern des Imperators in der Schwarzen Zitadelle auf, wo sich die hochrangigen Offiziellen zu einem Verteidigungsausschuss versammelt haben. Erklärt dort Eure Hilfsbereitschaft und sucht danach Rytlock in seiner Dienststube auf, um genaue Instruktionen zu erhalten.

Zojja

<c=#ff8c00>[lbracket]Geht zum Kommandokern in der Schwarzen Zitadelle und sucht auf Eurer Karte nach "Rox: Eine wichtige Mission".[rbracket] <br><br>[lbracket]Stattet Rytlock in seiner Dienststube einen Besuch ab und sucht auf Eurer Karte nach "Braham: Hilfe von den Legionen"[rbracket]</c>"
"16";"Zojja"
"17";"Ruf zu den Waffen"
"18";"Die Lage an der Schaufler-Flammen-Legion-Front hat sich verändert. Die Wachsamen gehen nun ebenfalls aktiv gegen de Eindringlinge vor und unterstützen unsere Anstrengungen. Die Eindringlinge sind jedoch bestens ausgerüstet und sie haben Waffenverstecke überall in den Wanderer-Hügeln und auf dem Diessa-Plateau. Außerdem habe ich gehört, dass sie angeblich viele unserer Kämpfer gefangen nehmen. Die Wachsamen brauchen Eure Unterstützung. Schlagt Lücken in die Reihen der feindlichen Angreifer und zerschmettert ihre unheilvolle Allianz – für Kryta und für unsere Freunde!

Logan"
"19";"Achtung"
"20";"Neuigkeiten aus der Kommandozentrale Truppen der Wachsamen sind endlich dem Kampf beigetreten. Sie marschieren gegen die Allianz der Schaufler und der Flammen-Legion und versuchen, sie zurückzudrängen und möglichst viele Siedlungen zu retten. Die Auseinandersetzungen sind leider sehr verlustreich. Die Feinde sind gut ausgerüstet und haben überall in den Wanderer-Hügeln und auf dem Diessa-Plateau Waffenverstecke. Sie machen neuerdings auch viele Gefangene. Ich will Euch mit dort draußen sehen, Soldat[f:"Soldatin"]. Zermalmt sie unter Euren Füßen!

Rytlock"
"21";"Nachtrag"
"22";"Ich fasse mich kurz. Die Wachsamen haben sich dem Kampf gegen die Schaufler und die Flammen-Legion angeschlossen. Sie versuchen, den Feind in den Wanderer-Hügeln zurückzudrängen und dabei die Leben möglichst vieler Siedler zu retten. Sie haben bereits Erfolge erzielt und dabei herausgefunden, dass die feindlichen Eindringlinge überall in den Wanderer-Hügeln und auf dem Diessa-Plateau Waffenverstecke angelegt haben und, was noch schlimmer ist, zahllose Gefangene nehmen. Bezwinger[f:"Bezwingerin"], nie bedurften wir deiner Hilfe dringender als zu dieser finsteren Stunde!

Eir"
"23";"Gegenangriff"
"24";"Ich habe Neuigkeiten. Frische Heere der Wachsamen sammeln sich nahe Hoelbrak und der Schwarzen Zitadelle, um die Städte im Kampf gegen die Allianz der Schaufler und der Flammen-Legion zu unterstützen. Aber ihre Truppenstärke reicht womöglich nicht aus. Die Eindringlinge sind bestens ausgerüstet und sie haben Waffenverstecke überall in den Wanderer-Hügeln und auf dem Diessa-Plateau. Außerdem nehmen sie zahlreiche Gefangene. Eure Stärke wird benötigt, Junker[f:"Junkerin"]. Stoppt diese Bedrohung, bevor es für unsere Freunde zu spät ist.

Caithe"
"25";"Auf ins Schlachtgetümmel"
"26";"Eine neue Entwicklung erfordert umgehend Eure ungeteilte Aufmerksamkeit. Die verbündeten Feinde haben damit begonnen, Gefangene zu machen. Die Wachsamen haben Truppen entsandt, um die zahlenmäßige Überlegenheit des Feindes zu egalisieren, was zu einer Pattsituation geführt hat. Die Schaufler und die Flammen-Legion beziehen immer neue Ausrüstung aus versteckten Lagern, die sie überall in den Wanderer-Hügeln und auf dem Diessa-Plateau angelegt haben. An der Front fehlt es an echten Haudegen von Eurem Kaliber und Eurem Intellekt. Also macht Euch auf den Weg und befördert unsere Feinde unter die Erde – und zwar dauerhaft!

Zojja"
"27";"Beharrliche Gegner"
"28";"An alle verfügbaren Wachsamen:

Wir haben kritische Vorkommnisse in den Wanderer-Hügeln und am Diessa-Plateau bemerkt. Die Wachsamen reagieren darauf, indem alle aktiven Mitglieder der Wachsamen einberufen werden – also auch Ihr. Wir haben von einer umfassenden Militäroffensive von einer Allianz zwischen der Flammen-Legion und den Schauflern erfahren. Die ersten Späher der Wachsamen sind bereits vor Ort und leiten den Einsatz. Die Eindringlinge haben unschuldige Einwohner Tyrias gefangen genommen. Das ist inakzeptabel.

Meldet Euch so bald als möglich bei Tribun Rytlock Brimstone in der Schwarzen Zitadelle. Die Stadt hat auch einen Verteidigungsausschuss im Kern des Imperators eingesetzt. Schaut beim Kern vorbei und bietet dem Kriegsrat Eure Hilfe an. Wir müssen uns dieser Invasion geschlossen und mit so vielen Mann wie möglich entgegenstellen.

General Almorra Seelenhüter

<c=#ff8c00>[lbracket]Geht zum Kommandokern in der Schwarzen Zitadelle und sucht auf Eurer Karte nach "Rox: Eine wichtige Mission".[rbracket] <br><br>[lbracket]Stattet Rytlock in seiner Dienststube einen Besuch ab und sucht auf Eurer Karte nach "Braham: Hilfe von den Legionen"[rbracket]</c>"
"29";"General Almorra"
"30";"Ruf zu den Waffen"
"31";"Halten, um das Katapult zu laden und abzufeuern."
"32";"Feuern"
"33";"Kostüm-Rauferei-Waffe"
"34";"Graben"
"35";"Bogen"
"36";"Small Bomb"
"37";"Bier"
"38";"Verkaufen"
"39";"Spieler-Gegenstände"
"40";"Spielen"
"41";"Fertigkeit der Kostüm-Rauferei"
"42";"Angreifen"
"43";"Nur für kurze Zeit erhältlich! Bei Aktivierung dieses Verbrauchsgegenstandes lässt Euren Charakter eine Adventure Box-Superbombe auf Eure Gegner fallen, um sie im PvP und WvW zu erledigen. Hält eine Stunde an."
"44";"Unterstützt Eure<br>individuelle Lieblings-<br>Arena"
"45";"Verlängert die aktive Laufzeit einer Arena. Jede Marke fügt einen Tag hinzu."
"46";"Startet Eure eigene<br>selbsterstellte Arena!"
"47";"Mehr Münzen!<br>Mehr Leben!<br>Mehr Superspaß!"
