"0";"Vertragswerk Mystische Schmiede"
"1";"Kultist[pl:"Kultisten"] des Weißen Mantels"
"2";"Basisheilung"
"3";"Lasst einen Meteorschauer auf den Zielbereich niedergehen.
<c=@reminder>Diese Fähigkeit richtet bei jedem Treffer pro Ziel weniger Schaden an.</c>"
"4";"Tagebuch des Zommoros"
"5";"Erweckter Schakal"
"6";"Zerstört den südwestlichen Kontroll-Pylon der Erweckten Inquestur-Mitglieder."
"7";"Welt gegen Welt: Kein angeschlagener Zustand"
"8";"Pakt-Vorhut, Jahai-Klippen"
"9";"Die Leute reden über Euch. Vor allem Chefköche. Sie nennen Euch eine Art aufsteigenden Stern am kulinarischen Firmament. Ich erkenne Talent, wenn ich welches schmecke. Am besten bereitet Ihr mir also eine Kostprobenplatte für Chefköche zu und ich sage Euch meine professionelle Meinung. Mit meiner Hilfe könnt Ihr wahre Größe erreichen!

Ich werde in der Nähe Eures Zuhauses warten. Gutes Gelingen!

Seimur"
"10";"Treibsand-Spitzhacke"
"11";"Kostprobenplatte[pl:"Kostprobenplatten"] des[f:"der"] Chefkochs[f:"Chefköchin"]"
"12";"Bei diesem Event gibt es im WvW keinen angeschlagenen Zustand! Obendrein könnt Ihr die doppelte WEP, erhöhten Belohnungspfad-Fortschritt und erhöhtes Magisches Gespür verdienen!"
"13";"Dorf Reinheit, Ödland"
"14";"Rekonstruktionsknaller"
"15";"Irgendwo im Wüsten-Hochland"
"16";"Mit Zaeim gesprochen und seine Bitte angenommen"
"17";"<c=@flavor>Eines Tages wächst diese Larve zum treuen Reittier heran.</c>"
"18";"Geißel-Farbe[pl:"Farben"]"
"19";""Erweckter Schakal"-Skin[pl:"Skins"]"
"20";"Sonnige Sense"
"21";"Ein kunstvoller Schlüssel. Er muss doch irgendetwas öffnen."
"22";""Erweckter Raptor"-Skin[pl:"Skins"]"
"23";"Sarkophag-Farbe[pl:"Farben"]"
"24";""Erweckter Springer"-Skin[pl:"Skins"]"
"25";"Amnoon, Kristalloase"
"26";"Irgendwo in der Domäne Vaabi"
"27";"Erhöhte Heilung an andere Verbündete"
"28";"Skin[pl:"Skins"] für Sonnige Sense"
"29";"Erbeuten"
"30";"Irgendwo in den Jahai-Klippen"
"31";"Ossa-Viertel, Götterfels"
"32";"Irgendwo in den Jahai-Klippen"
